GEOID,NAME,tract,county,total_workers,essential,nonessential,conman,food,health,protection,socialservices,transport,total_pop,nonwhite_pct,pov_pct,hh_inc_med
17031010100,"Census Tract 101, Cook County, Illinois",101,Cook,2494,0.3540497193,0.6459502807,0.08660785886,0.05773857257,0.03448275862,0.02044907779,0.02125100241,0.1335204491,4522,0.59,0.358,37985
17031010201,"Census Tract 102.01, Cook County, Illinois",102.01,Cook,3067,0.4864688621,0.5135311379,0.1229214216,0.07890446691,0.1128138246,0.009129442452,0.03912618194,0.1235735246,7039,0.676,0.368,39549
17031010202,"Census Tract 102.02, Cook County, Illinois",102.02,Cook,1362,0.43979442,0.56020558,0.1549192364,0.124082232,0.05359765051,0.01762114537,0.005873715125,0.08370044053,2852,0.715,0.185,38370
17031010300,"Census Tract 103, Cook County, Illinois",103,Cook,3216,0.430659204,0.569340796,0.1063432836,0.0967039801,0.07804726368,0.02114427861,0.0388681592,0.08955223881,6650,0.537,0.161,38866
17031010400,"Census Tract 104, Cook County, Illinois",104,Cook,2593,0.2441187813,0.7558812187,0.06363285769,0.06748939452,0.04165059776,0.02391052835,0.01465483995,0.03278056305,5153,0.333,0.191,39152
17031010501,"Census Tract 105.01, Cook County, Illinois",105.01,Cook,2641,0.4767133661,0.5232866339,0.1056418023,0.0859522908,0.08481635744,0.04960242332,0.02915562287,0.1215448694,4147,0.544,0.207,34455
17031010502,"Census Tract 105.02, Cook County, Illinois",105.02,Cook,1935,0.3317829457,0.6682170543,0.05529715762,0.1198966408,0.0511627907,0,0.04702842377,0.05839793282,2802,0.485,0.3,37500
17031010503,"Census Tract 105.03, Cook County, Illinois",105.03,Cook,779,0.3645699615,0.6354300385,0.02567394095,0.1681643132,0.06931964056,0,0.03080872914,0.07060333761,1713,0.374,0.48,20357
17031010600,"Census Tract 106, Cook County, Illinois",106,Cook,3874,0.3236964378,0.6763035622,0.09395973154,0.02968508002,0.08982963345,0.0160041301,0.02658750645,0.06763035622,6271,0.439,0.244,47549
17031010701,"Census Tract 107.01, Cook County, Illinois",107.01,Cook,2123,0.5355628827,0.4644371173,0.143193594,0.1808761187,0.09420631182,0.01554404145,0.02543570419,0.07630711258,3766,0.598,0.208,55529
17031010702,"Census Tract 107.02, Cook County, Illinois",107.02,Cook,2819,0.5111741752,0.4888258248,0.09613338063,0.1844625754,0.09116708053,0.003192621497,0.04327775807,0.09294075913,5096,0.696,0.242,41161
17031020100,"Census Tract 201, Cook County, Illinois",201,Cook,1974,0.5673758865,0.4326241135,0.1342451874,0.1499493414,0.1038500507,0.01266464032,0.05116514691,0.1155015198,3836,0.682,0.142,51346
17031020200,"Census Tract 202, Cook County, Illinois",202,Cook,2838,0.4457364341,0.5542635659,0.07293868922,0.07928118393,0.1568005638,0.007399577167,0.02959830867,0.09971811135,6739,0.527,0.135,66831
17031020301,"Census Tract 203.01, Cook County, Illinois",203.01,Cook,2143,0.3840410639,0.6159589361,0.1628558096,0.03686420905,0.06952869809,0.008866075595,0.06112925805,0.04479701353,5472,0.261,0.136,54496
17031020302,"Census Tract 203.02, Cook County, Illinois",203.02,Cook,2423,0.3962030541,0.6037969459,0.1444490301,0.07635163021,0.08708212959,0.02434997936,0.0198101527,0.04416013207,5348,0.443,0.228,72572
17031020400,"Census Tract 204, Cook County, Illinois",204,Cook,2141,0.4413825315,0.5586174685,0.1438580103,0.03596450257,0.123306866,0.02895843064,0.01074264362,0.09855207847,4236,0.581,0.179,63977
17031020500,"Census Tract 205, Cook County, Illinois",205,Cook,2691,0.6562616128,0.3437383872,0.1348940914,0.1322928279,0.1018208844,0.03604607952,0.01337792642,0.237829803,6584,0.829,0.263,41432
17031020601,"Census Tract 206.01, Cook County, Illinois",206.01,Cook,2517,0.357568534,0.642431466,0.1330949543,0.009932459277,0.07787048073,0,0.02344060389,0.1132300358,6131,0.426,0.243,41308
17031020602,"Census Tract 206.02, Cook County, Illinois",206.02,Cook,2079,0.4497354497,0.5502645503,0.08946608947,0.1952861953,0.06782106782,0.01298701299,0.02645502646,0.05772005772,4734,0.582,0.22,53234
17031020701,"Census Tract 207.01, Cook County, Illinois",207.01,Cook,830,0.3686746988,0.6313253012,0.08313253012,0.03614457831,0.1156626506,0.02771084337,0.0313253012,0.07469879518,1748,0.362,0.066,91477
17031020702,"Census Tract 207.02, Cook County, Illinois",207.02,Cook,3392,0.5969929245,0.4030070755,0.2048938679,0.08018867925,0.07281839623,0.008254716981,0.05336084906,0.1774764151,7674,0.554,0.221,47063
17031020801,"Census Tract 208.01, Cook County, Illinois",208.01,Cook,3451,0.4630541872,0.5369458128,0.1851637207,0.04462474645,0.08113590264,0.007823819183,0.02260214431,0.121703854,6112,0.609,0.165,51467
17031020802,"Census Tract 208.02, Cook County, Illinois",208.02,Cook,3802,0.5533929511,0.4466070489,0.1170436612,0.132824829,0.1304576539,0,0.004471330878,0.1685954761,7952,0.724,0.262,48067
17031020901,"Census Tract 209.01, Cook County, Illinois",209.01,Cook,3047,0.5142763374,0.4857236626,0.1624548736,0.07351493272,0.08434525763,0.01148670824,0.01050213325,0.1719724319,5966,0.779,0.289,49901
17031020902,"Census Tract 209.02, Cook County, Illinois",209.02,Cook,2024,0.5261857708,0.4738142292,0.2223320158,0.0726284585,0.0918972332,0.01333992095,0.009881422925,0.1161067194,4680,0.587,0.267,37405
17031030101,"Census Tract 301.01, Cook County, Illinois",301.01,Cook,1915,0.4966057441,0.5033942559,0.1874673629,0.111227154,0.09295039164,0.01305483029,0.03812010444,0.05378590078,3768,0.614,0.147,48927
17031030102,"Census Tract 301.02, Cook County, Illinois",301.02,Cook,1698,0.2302709069,0.7697290931,0.0382803298,0.0382803298,0.07950530035,0,0.01531213192,0.05889281508,2703,0.475,0.162,45086
17031030103,"Census Tract 301.03, Cook County, Illinois",301.03,Cook,1171,0.3040136635,0.6959863365,0.05465414176,0.05209222886,0.03928266439,0.04099060632,0.07771135781,0.03928266439,2252,0.526,0.166,49103
17031030104,"Census Tract 301.04, Cook County, Illinois",301.04,Cook,1720,0.3418604651,0.6581395349,0.03779069767,0.1569767442,0.06511627907,0.02209302326,0.01279069767,0.04709302326,3569,0.366,0.279,37586
17031030200,"Census Tract 302, Cook County, Illinois",302,Cook,3350,0.2850746269,0.7149253731,0.0576119403,0.04119402985,0.08626865672,0.01313432836,0.06447761194,0.0223880597,5444,0.229,0.143,65810
17031030300,"Census Tract 303, Cook County, Illinois",303,Cook,1768,0.4513574661,0.5486425339,0.1470588235,0.0814479638,0.05260180995,0.01866515837,0.03733031674,0.1142533937,3464,0.649,0.24,38427
17031030400,"Census Tract 304, Cook County, Illinois",304,Cook,1637,0.2724496029,0.7275503971,0.08124618204,0.08063530849,0.06108735492,0.009163103238,0.03176542456,0.008552229688,2582,0.476,0.159,50781
17031030500,"Census Tract 305, Cook County, Illinois",305,Cook,4675,0.3270588235,0.6729411765,0.111657754,0.09411764706,0.05903743316,0.00577540107,0.02909090909,0.02737967914,6428,0.396,0.055,79414
17031030601,"Census Tract 306.01, Cook County, Illinois",306.01,Cook,2114,0.4512771996,0.5487228004,0.1182592242,0.08703878903,0.05061494797,0.009933774834,0.05203405866,0.1333964049,3956,0.522,0.176,41675
17031030603,"Census Tract 306.03, Cook County, Illinois",306.03,Cook,1421,0.3905700211,0.6094299789,0.04503870514,0.09922589726,0.118226601,0.01337086559,0.03096410978,0.08374384236,2258,0.626,0.239,34415
17031030604,"Census Tract 306.04, Cook County, Illinois",306.04,Cook,1868,0.289614561,0.710385439,0.08832976445,0.07494646681,0.07226980728,0.005353319058,0.009100642398,0.03961456103,3344,0.574,0.244,35096
17031030701,"Census Tract 307.01, Cook County, Illinois",307.01,Cook,969,0.3725490196,0.6274509804,0.1114551084,0.1073271414,0.04024767802,0.008255933953,0.02786377709,0.0773993808,1712,0.561,0.263,41042
17031030702,"Census Tract 307.02, Cook County, Illinois",307.02,Cook,1138,0.2381370826,0.7618629174,0.0158172232,0.03251318102,0.08787346221,0.008787346221,0.01493848858,0.07820738137,2252,0.458,0.131,59414
17031030703,"Census Tract 307.03, Cook County, Illinois",307.03,Cook,1739,0.3208740656,0.6791259344,0.0793559517,0.06210465785,0.08338125359,0.01552616446,0.03277745831,0.04772857964,2909,0.413,0.251,40195
17031030706,"Census Tract 307.06, Cook County, Illinois",307.06,Cook,1525,0.3160655738,0.6839344262,0.1586885246,0.04655737705,0.04983606557,0.01573770492,0.01114754098,0.03409836066,2928,0.445,0.133,39308
17031030800,"Census Tract 308, Cook County, Illinois",308,Cook,2471,0.2760016188,0.7239983812,0.04411169567,0.05625252934,0.1266693646,0.01052205585,0.03844597329,0,4392,0.283,0.089,90288
17031030900,"Census Tract 309, Cook County, Illinois",309,Cook,2056,0.1760700389,0.8239299611,0.05009727626,0.05252918288,0.04182879377,0.01361867704,0.003404669261,0.01459143969,3061,0.375,0.094,95958
17031031000,"Census Tract 310, Cook County, Illinois",310,Cook,2914,0.2165408373,0.7834591627,0.05628002745,0.05078929307,0.05525051476,0.002745367193,0.02985586822,0.02161976664,4089,0.333,0.068,81291
17031031100,"Census Tract 311, Cook County, Illinois",311,Cook,3475,0.3211510791,0.6788489209,0.07107913669,0.07194244604,0.08057553957,0.01553956835,0.03510791367,0.04690647482,5059,0.347,0.123,68304
17031031200,"Census Tract 312, Cook County, Illinois",312,Cook,3157,0.3785239151,0.6214760849,0.05669939816,0.118466899,0.02724105163,0.008869179601,0.03357617992,0.1336712068,5937,0.567,0.269,40380
17031031300,"Census Tract 313, Cook County, Illinois",313,Cook,3948,0.3657548126,0.6342451874,0.06357649443,0.0625633232,0.1175278622,0,0.02938196555,0.09270516717,7604,0.516,0.221,41445
17031031400,"Census Tract 314, Cook County, Illinois",314,Cook,3275,0.2595419847,0.7404580153,0.03236641221,0.05099236641,0.1419847328,0.004580152672,0.02015267176,0.009465648855,4853,0.349,0.106,69590
17031031501,"Census Tract 315.01, Cook County, Illinois",315.01,Cook,1853,0.449001619,0.550998381,0.1462493254,0.1025364274,0.06853750675,0.006475984889,0.01511063141,0.1100917431,4587,0.666,0.469,25257
17031031502,"Census Tract 315.02, Cook County, Illinois",315.02,Cook,2398,0.4211843203,0.5788156797,0.04253544621,0.1267723103,0.1263552961,0,0.02043369475,0.105087573,4651,0.672,0.323,25317
17031031700,"Census Tract 317, Cook County, Illinois",317,Cook,4412,0.3084768812,0.6915231188,0.069356301,0.06595648232,0.1117407072,0.009972801451,0.01133272892,0.04011786038,6691,0.443,0.24,56175
17031031800,"Census Tract 318, Cook County, Illinois",318,Cook,1356,0.191740413,0.808259587,0.07743362832,0.03244837758,0.02507374631,0.005899705015,0.02728613569,0.02359882006,1857,0.225,0.071,78558
17031031900,"Census Tract 319, Cook County, Illinois",319,Cook,1733,0.2060011541,0.7939988459,0.01500288517,0.02885170225,0.04904789383,0.01269474899,0.02250432776,0.07789959608,2566,0.284,0.114,67760
17031032100,"Census Tract 321, Cook County, Illinois",321,Cook,4327,0.2539865958,0.7460134042,0.04737693552,0.08273630691,0.05615900162,0.04807025653,0.01317309914,0.006470996071,6837,0.334,0.237,53013
17031040100,"Census Tract 401, Cook County, Illinois",401,Cook,2255,0.3281596452,0.6718403548,0.1077605322,0.03592017738,0.08337028825,0.01596452328,0.04390243902,0.04124168514,3879,0.31,0.114,85368
17031040201,"Census Tract 402.01, Cook County, Illinois",402.01,Cook,4379,0.258734871,0.741265129,0.08495090203,0.03448275862,0.07353277004,0.006850879196,0.02420643983,0.03471112126,6891,0.417,0.081,71322
17031040202,"Census Tract 402.02, Cook County, Illinois",402.02,Cook,3750,0.4264,0.5736,0.1181333333,0.1162666667,0.0792,0.0144,0.01813333333,0.08026666667,7265,0.547,0.185,40011
17031040300,"Census Tract 403, Cook County, Illinois",403,Cook,1536,0.3938802083,0.6061197917,0.1341145833,0.07356770833,0.1412760417,0,0.01236979167,0.03255208333,2925,0.468,0.014,90250
17031040401,"Census Tract 404.01, Cook County, Illinois",404.01,Cook,2107,0.2871381111,0.7128618889,0.07688656858,0.05078310394,0.06169909824,0.00237304224,0.05363075463,0.04176554343,3347,0.366,0.037,89063
17031040402,"Census Tract 404.02, Cook County, Illinois",404.02,Cook,3636,0.2354235424,0.7645764576,0.03850385039,0.05913091309,0.06875687569,0.01925192519,0.03630363036,0.01347634763,5269,0.262,0.065,82798
17031040600,"Census Tract 406, Cook County, Illinois",406,Cook,1699,0.1871689229,0.8128310771,0.0223660977,0.04649793996,0.04414361389,0.01824602707,0.03590347263,0.02001177163,2514,0.19,0.038,82383
17031040700,"Census Tract 407, Cook County, Illinois",407,Cook,2253,0.1864181092,0.8135818908,0.05814469596,0.07367953839,0.01908566356,0.002663115846,0.01420328451,0.01864181092,3440,0.277,0.069,76915
17031040800,"Census Tract 408, Cook County, Illinois",408,Cook,1131,0.24933687,0.75066313,0.05923961096,0.04686118479,0.08045977011,0,0.02829354553,0.03448275862,1829,0.302,0.059,76809
17031040900,"Census Tract 409, Cook County, Illinois",409,Cook,1303,0.2371450499,0.7628549501,0.04144282425,0.03760552571,0.0913277053,0.005372217959,0.04911742134,0.01227935533,1842,0.142,0.084,76964
17031050100,"Census Tract 501, Cook County, Illinois",501,Cook,1796,0.2227171492,0.7772828508,0.04788418708,0.02672605791,0.0434298441,0.04008908686,0.02171492205,0.04287305122,2731,0.253,0.049,114012
17031050200,"Census Tract 502, Cook County, Illinois",502,Cook,2888,0.1762465374,0.8237534626,0.02319944598,0.02112188366,0.09695290859,0,0.01662049861,0.01835180055,5431,0.181,0.033,85671
17031050300,"Census Tract 503, Cook County, Illinois",503,Cook,1579,0.303989867,0.696010133,0.09309689677,0.02723242559,0.09689677011,0.02153261558,0.005066497783,0.06016466118,2723,0.367,0.097,84844
17031050500,"Census Tract 505, Cook County, Illinois",505,Cook,3533,0.1636003397,0.8363996603,0.01641664308,0.05859043306,0.05547693179,0.01160486838,0.01103877724,0.0104726861,6069,0.165,0.03,133845
17031050600,"Census Tract 506, Cook County, Illinois",506,Cook,1489,0.1524513096,0.8475486904,0.03022162525,0.03425117529,0.0557421088,0,0.00604432505,0.02619207522,2177,0.113,0.081,105513
17031050700,"Census Tract 507, Cook County, Illinois",507,Cook,1100,0.2227272727,0.7772727273,0.03090909091,0.03545454545,0.08909090909,0.01636363636,0,0.05090909091,1610,0.076,0.035,124500
17031050800,"Census Tract 508, Cook County, Illinois",508,Cook,914,0.1498905908,0.8501094092,0.04814004376,0.02735229759,0.03282275711,0.02735229759,0.01422319475,0,1457,0.182,0.044,116000
17031050900,"Census Tract 509, Cook County, Illinois",509,Cook,808,0.2314356436,0.7685643564,0.06311881188,0.03712871287,0.07673267327,0,0.04084158416,0.01361386139,1302,0.28,0.048,91719
17031051000,"Census Tract 510, Cook County, Illinois",510,Cook,984,0.1880081301,0.8119918699,0.02845528455,0.02642276423,0.0406504065,0.01117886179,0.02032520325,0.06097560976,1718,0.381,0.054,109130
17031051100,"Census Tract 511, Cook County, Illinois",511,Cook,967,0.2182006205,0.7817993795,0.04136504654,0.01240951396,0.05480868666,0.02171664943,0.02585315408,0.0620475698,1654,0.211,0.033,136131
17031051200,"Census Tract 512, Cook County, Illinois",512,Cook,1058,0.1143667297,0.8856332703,0.0179584121,0.01039697543,0.0595463138,0,0.01323251418,0.01323251418,1594,0.211,0.046,129167
17031051300,"Census Tract 513, Cook County, Illinois",513,Cook,1864,0.2043991416,0.7956008584,0.04291845494,0.03433476395,0.09227467811,0.01448497854,0.0080472103,0.01233905579,2826,0.169,0.024,178750
17031051400,"Census Tract 514, Cook County, Illinois",514,Cook,1098,0.2122040073,0.7877959927,0.05555555556,0.01183970856,0.08652094718,0.009107468124,0.03369763206,0.01548269581,1796,0.238,0.079,116364
17031060100,"Census Tract 601, Cook County, Illinois",601,Cook,1893,0.1859482303,0.8140517697,0.04490227153,0.03486529319,0.07818277866,0,0.01584786054,0.01215002641,2852,0.227,0.064,92593
17031060200,"Census Tract 602, Cook County, Illinois",602,Cook,1663,0.2321106434,0.7678893566,0.02465423933,0.05712567649,0.07396271798,0.003006614552,0.0114251353,0.06193625977,2324,0.292,0.153,72679
17031060300,"Census Tract 603, Cook County, Illinois",603,Cook,2270,0.2167400881,0.7832599119,0.05242290749,0.02026431718,0.09647577093,0.0127753304,0.01762114537,0.01718061674,3214,0.206,0.011,117415
17031060400,"Census Tract 604, Cook County, Illinois",604,Cook,2572,0.1772939347,0.8227060653,0.05054432348,0.01982892691,0.05715396579,0.007776049767,0.02371695179,0.01827371695,3779,0.189,0.107,122708
17031060500,"Census Tract 605, Cook County, Illinois",605,Cook,670,0.2462686567,0.7537313433,0.04328358209,0.05373134328,0.1134328358,0.005970149254,0.01492537313,0.01492537313,1295,0.354,0.226,34130
17031060800,"Census Tract 608, Cook County, Illinois",608,Cook,3726,0.2012882448,0.7987117552,0.02818035427,0.02683843264,0.0652173913,0.009125067096,0.04025764895,0.03166935051,5048,0.26,0.049,87723
17031060900,"Census Tract 609, Cook County, Illinois",609,Cook,5452,0.2248716067,0.7751283933,0.0286133529,0.03888481291,0.1012472487,0,0.01834189288,0.03778429934,7114,0.319,0.089,59942
17031061000,"Census Tract 610, Cook County, Illinois",610,Cook,1813,0.1616105902,0.8383894098,0.03033645891,0.03640375069,0.05515719801,0.009376723662,0.0110314396,0.01930501931,2208,0.198,0.144,116389
17031061100,"Census Tract 611, Cook County, Illinois",611,Cook,1098,0.1857923497,0.8142076503,0.01092896175,0.04644808743,0.04007285974,0.004553734062,0.04553734062,0.03825136612,1379,0.12,0.067,107500
17031061200,"Census Tract 612, Cook County, Illinois",612,Cook,1407,0.1400142146,0.8599857854,0.026297086,0.02274342573,0.05970149254,0.004264392324,0.01279317697,0.01421464108,1961,0.17,0.082,112292
17031061500,"Census Tract 615, Cook County, Illinois",615,Cook,1498,0.1134846462,0.8865153538,0.01468624833,0.02603471295,0.0567423231,0.002670226969,0.002670226969,0.01068090788,1888,0.189,0.066,125000
17031061800,"Census Tract 618, Cook County, Illinois",618,Cook,930,0.1827956989,0.8172043011,0.01827956989,0.05698924731,0.05483870968,0.005376344086,0.01182795699,0.03548387097,1340,0.314,0.125,73523
17031061901,"Census Tract 619.01, Cook County, Illinois",619.01,Cook,2631,0.2516153554,0.7483846446,0.04180919802,0.07411630559,0.09122006842,0,0.01482326112,0.02964652223,3597,0.274,0.102,60909
17031061902,"Census Tract 619.02, Cook County, Illinois",619.02,Cook,2959,0.217979047,0.782020953,0.0469753295,0.0719837783,0.05542412977,0.01149036837,0.01486988848,0.01723555255,4653,0.181,0.119,64508
17031062000,"Census Tract 620, Cook County, Illinois",620,Cook,2493,0.1885278781,0.8114721219,0.01283594063,0.0734055355,0.05334937826,0.0116325712,0.01845166466,0.01885278781,2981,0.168,0.058,80595
17031062100,"Census Tract 621, Cook County, Illinois",621,Cook,2787,0.161105131,0.838894869,0.01865805526,0.04987441694,0.04664513814,0.01614639397,0.01614639397,0.01363473269,3772,0.185,0.148,94500
17031062200,"Census Tract 622, Cook County, Illinois",622,Cook,2145,0.1291375291,0.8708624709,0.01911421911,0.02657342657,0.05641025641,0,0,0.02703962704,2719,0.199,0.067,119392
17031062300,"Census Tract 623, Cook County, Illinois",623,Cook,1077,0.1550603528,0.8449396472,0.007428040854,0.007428040854,0.09192200557,0,0.03156917363,0.01671309192,1602,0.174,0.042,154000
17031062400,"Census Tract 624, Cook County, Illinois",624,Cook,1011,0.1463897132,0.8536102868,0.04154302671,0.01285855589,0.07715133531,0.01483679525,0,0,1576,0.124,0.037,127059
17031062500,"Census Tract 625, Cook County, Illinois",625,Cook,1149,0.2036553525,0.7963446475,0.01479547433,0.02436901654,0.0861618799,0.01218450827,0.01566579634,0.05047867711,1575,0.205,0.13,131818
17031062600,"Census Tract 626, Cook County, Illinois",626,Cook,1488,0.1834677419,0.8165322581,0.03024193548,0.01411290323,0.1048387097,0.004704301075,0.004032258065,0.02553763441,2370,0.256,0.016,158125
17031062700,"Census Tract 627, Cook County, Illinois",627,Cook,1879,0.1750931346,0.8249068654,0.03885045237,0.02288451304,0.06599254923,0.01224055349,0.007450771687,0.02767429484,2885,0.095,0.043,168352
17031062800,"Census Tract 628, Cook County, Illinois",628,Cook,2692,0.1857355126,0.8142644874,0.009658246657,0.05460624071,0.08766716196,0.01188707281,0,0.02191679049,3625,0.183,0.051,143667
17031062900,"Census Tract 629, Cook County, Illinois",629,Cook,2966,0.1807147674,0.8192852326,0.04012137559,0.04484153742,0.03674983142,0.028320971,0.01550910317,0.01517194875,3818,0.132,0.074,128750
17031063000,"Census Tract 630, Cook County, Illinois",630,Cook,2658,0.1764484575,0.8235515425,0.02746425884,0.01316779533,0.1083521445,0.01693002257,0.01053423627,0,3448,0.286,0.081,99213
17031063100,"Census Tract 631, Cook County, Illinois",631,Cook,1749,0.1686678102,0.8313321898,0.04116638079,0.03430531732,0.081189251,0,0.01200686106,0,2310,0.206,0.08,95365
17031063200,"Census Tract 632, Cook County, Illinois",632,Cook,4685,0.2300960512,0.7699039488,0.01131270011,0.05293489861,0.1195304162,0.005336179296,0.009818569904,0.03116328709,6897,0.148,0.084,65426
17031063301,"Census Tract 633.01, Cook County, Illinois",633.01,Cook,1953,0.1525857655,0.8474142345,0.02252944188,0.01792114695,0.09831029186,0.008192524322,0.004608294931,0.00102406554,2768,0.253,0.153,58371
17031063302,"Census Tract 633.02, Cook County, Illinois",633.02,Cook,3050,0.1468852459,0.8531147541,0.005245901639,0.009836065574,0.09147540984,0,0.01409836066,0.0262295082,3781,0.218,0.073,78720
17031063303,"Census Tract 633.03, Cook County, Illinois",633.03,Cook,579,0.1899827288,0.8100172712,0.02763385147,0,0.1537132988,0,0.008635578584,0,1223,0.147,0.059,81705
17031063400,"Census Tract 634, Cook County, Illinois",634,Cook,1882,0.1801275239,0.8198724761,0.01753453773,0.04516471838,0.08235919235,0,0.02550478215,0.009564293305,2318,0.183,0.057,97305
17031070101,"Census Tract 701.01, Cook County, Illinois",701.01,Cook,2386,0.1383067896,0.8616932104,0.005448449288,0.0230511316,0.1035205365,0,0.006286672255,0,3878,0.181,0.159,64968
17031070102,"Census Tract 701.02, Cook County, Illinois",701.02,Cook,2293,0.1809856084,0.8190143916,0.01744439599,0.007849978195,0.1107719145,0.003924989097,0.02311382468,0.01788050589,2920,0.211,0.066,70057
17031070103,"Census Tract 701.03, Cook County, Illinois",701.03,Cook,1343,0.1571109456,0.8428890544,0.02606105733,0.01116902457,0.08265078183,0.02755026061,0,0.009679821296,1621,0.212,0.101,58914
17031070200,"Census Tract 702, Cook County, Illinois",702,Cook,3158,0.1586447118,0.8413552882,0.02374920836,0.01994933502,0.0661811273,0.0110829639,0.006016466118,0.03166561115,4283,0.193,0.096,92441
17031070300,"Census Tract 703, Cook County, Illinois",703,Cook,2705,0.1722735675,0.8277264325,0.01589648799,0.01774491682,0.101663586,0.009611829945,0.007024029575,0.02033271719,3575,0.143,0.077,143221
17031070400,"Census Tract 704, Cook County, Illinois",704,Cook,2129,0.1564114608,0.8435885392,0.01127289807,0.03616721465,0.076092062,0.02912165336,0.003757632691,0,3237,0.213,0.102,113409
17031070500,"Census Tract 705, Cook County, Illinois",705,Cook,2121,0.2489391796,0.7510608204,0.0966525224,0.03394625177,0.0966525224,0,0.006600660066,0.01508722301,3421,0.177,0.047,155729
17031070600,"Census Tract 706, Cook County, Illinois",706,Cook,1975,0.1549367089,0.8450632911,0.003544303797,0,0.0835443038,0.01164556962,0.02582278481,0.03037974684,3257,0.161,0.047,157125
17031070700,"Census Tract 707, Cook County, Illinois",707,Cook,2639,0.2110647973,0.7889352027,0.02576733611,0.06328154604,0.06934444865,0.01743084502,0.009094353922,0.02614626753,4272,0.338,0.167,120192
17031071000,"Census Tract 710, Cook County, Illinois",710,Cook,2368,0.1672297297,0.8327702703,0.02576013514,0.06630067568,0.04054054054,0.0004222972973,0.002533783784,0.0316722973,4604,0.212,0.095,138934
17031071100,"Census Tract 711, Cook County, Illinois",711,Cook,2183,0.2579019698,0.7420980302,0.06550618415,0.07741639945,0.0714612918,0.006871278058,0.0123683005,0.0242785158,3180,0.288,0.101,119432
17031071200,"Census Tract 712, Cook County, Illinois",712,Cook,1337,0.1585639491,0.8414360509,0.03889304413,0.03365744203,0.05833956619,0,0.01944652206,0.00822737472,2024,0.264,0.089,109191
17031071300,"Census Tract 713, Cook County, Illinois",713,Cook,2580,0.1480620155,0.8519379845,0.03217054264,0.02829457364,0.06744186047,0.002713178295,0.01744186047,0,3982,0.176,0.088,112788
17031071400,"Census Tract 714, Cook County, Illinois",714,Cook,3275,0.1615267176,0.8384732824,0.03145038168,0.03664122137,0.05465648855,0,0.02259541985,0.01618320611,4745,0.239,0.164,93529
17031071500,"Census Tract 715, Cook County, Illinois",715,Cook,4493,0.119964389,0.880035611,0.01090585355,0.003338526597,0.06610282662,0.01357667483,0.01135099043,0.01468951703,6065,0.156,0.047,94598
17031071600,"Census Tract 716, Cook County, Illinois",716,Cook,959,0.1386861314,0.8613138686,0.00417101147,0.01251303441,0.1001042753,0.005213764338,0.01668404588,0,1832,0.267,0.088,142583
17031071700,"Census Tract 717, Cook County, Illinois",717,Cook,1094,0.1800731261,0.8199268739,0.01462522852,0.0365630713,0.05484460695,0.0365630713,0.02193784278,0.0155393053,1729,0.282,0.024,162054
17031071800,"Census Tract 718, Cook County, Illinois",718,Cook,1596,0.1152882206,0.8847117794,0.02067669173,0.01378446115,0.05263157895,0,0.01691729323,0.01127819549,2741,0.271,0.046,141806
17031080100,"Census Tract 801, Cook County, Illinois",801,Cook,4208,0.1658745247,0.8341254753,0.01449619772,0.03493346008,0.09149239544,0,0.02495247148,0,6795,0.133,0.081,111372
17031080201,"Census Tract 802.01, Cook County, Illinois",802.01,Cook,2268,0.171957672,0.828042328,0.0233686067,0.01851851852,0.05158730159,0,0.04012345679,0.03835978836,3141,0.196,0.012,87221
17031080202,"Census Tract 802.02, Cook County, Illinois",802.02,Cook,2328,0.1683848797,0.8316151203,0.01417525773,0.04381443299,0.07474226804,0,0.02147766323,0.01417525773,3302,0.13,0.095,83806
17031080300,"Census Tract 803, Cook County, Illinois",803,Cook,3641,0.1598461961,0.8401538039,0.01428179072,0.01510574018,0.1051908816,0,0.01043669322,0.01483109036,4770,0.236,0.052,122479
17031080400,"Census Tract 804, Cook County, Illinois",804,Cook,2102,0.3273073264,0.6726926736,0.06327307326,0.05708848716,0.09705042816,0.00808753568,0.01474785918,0.08705994291,4142,0.687,0.23,36927
17031081000,"Census Tract 810, Cook County, Illinois",810,Cook,4806,0.2573866001,0.7426133999,0.07261756138,0.07698709946,0.06887224303,0.004161464836,0.01706200583,0.01768622555,7439,0.363,0.199,60566
17031081100,"Census Tract 811, Cook County, Illinois",811,Cook,2924,0.2212722298,0.7787277702,0.05779753762,0.03693570451,0.0950752394,0.004103967168,0.00512995896,0.02222982216,4092,0.363,0.162,77267
17031081201,"Census Tract 812.01, Cook County, Illinois",812.01,Cook,2695,0.1172541744,0.8827458256,0.01632653061,0.02226345083,0.06864564007,0,0.003710575139,0.006307977737,4500,0.226,0.067,98186
17031081202,"Census Tract 812.02, Cook County, Illinois",812.02,Cook,1656,0.1461352657,0.8538647343,0.02657004831,0.00845410628,0.09963768116,0,0.003623188406,0.007850241546,2951,0.163,0.042,133079
17031081300,"Census Tract 813, Cook County, Illinois",813,Cook,2800,0.2339285714,0.7660714286,0.009285714286,0.01857142857,0.1614285714,0,0.01214285714,0.0325,5313,0.219,0.123,84223
17031081401,"Census Tract 814.01, Cook County, Illinois",814.01,Cook,1379,0.125453227,0.874546773,0.03335750544,0,0.05148658448,0.02683103698,0.006526468455,0.007251631617,2342,0.254,0.123,67313
